pft,trait,distn,parama,paramb,pft_id,prior_id,is_posterior
umbs.early_hardwood,f_labile,beta,1.5,1.5,99000000002,5,FALSE
umbs.early_hardwood,seedling_mortality,beta,3.61,0.433,99000000002,17,FALSE
umbs.early_hardwood,growth_resp_factor,beta,4.06,7.2,99000000002,57,FALSE
umbs.early_hardwood,nonlocal_dispersal,beta,1.1,1.5,99000000002,63,FALSE
umbs.early_hardwood,fineroot2leaf,lnorm,0.21,0.6,99000000002,75,FALSE
umbs.early_hardwood,r_fract,beta,2,4,99000000002,80,FALSE
umbs.early_hardwood,mort2,unif,5,80,99000000002,128,FALSE
umbs.early_hardwood,stomatal_slope,unif,2,16,99000000002,134,FALSE
umbs.early_hardwood,root_respiration_rate,unif,0,100,99000000002,138,FALSE
umbs.early_hardwood,root_turnover_rate,unif,0,10,99000000002,139,FALSE
umbs.early_hardwood,Vcmax,unif,0,500,99000000002,164,FALSE
umbs.early_hardwood,water_conductance,lnorm,-5.4,3,99000000002,166,FALSE
umbs.early_hardwood,SLA,gamma,5.13,0.234,99000000002,187,FALSE
umbs.early_hardwood,quantum_efficiency,weibull,3.32,0.08,99000000002,192,FALSE
umbs.early_hardwood,leaf_respiration_rate_m2,gamma,1.5,0.4,99000000002,197,FALSE
umbs.early_hardwood,leaf_reflect_nir,beta,561.200439866185,776.708990026119,99000000002,99000000531,FALSE
umbs.early_hardwood,leaf_reflect_vis,beta,258.941328238295,4663.89345271486,99000000002,99000000535,FALSE
umbs.early_hardwood,leaf_trans_nir,beta,173.197711410457,199.220018202268,99000000002,99000000539,FALSE
umbs.early_hardwood,leaf_trans_vis,beta,15.4390878785569,561.091795375149,99000000002,99000000543,FALSE
umbs.early_hardwood,clumping_factor,beta,3,1.5,99000000002,99000000544,FALSE
umbs.early_hardwood,orient_factor,unif,-0.5,0.5,99000000002,99000000548,FALSE
umbs.early_hardwood,minimum_height,gamma,1.5,0.2,99000000002,99000000553,FALSE
umbs.early_hardwood,mort1,gamma,1,0.05,99000000002,99000000557,FALSE
umbs.early_hardwood,mort3,unif,0,0.02,99000000002,99000000561,FALSE
umbs.mid_hardwood,f_labile,beta,1.5,1.5,99000000003,5,FALSE
umbs.mid_hardwood,growth_resp_factor,beta,2.63,6.52,99000000003,7,FALSE
umbs.mid_hardwood,seedling_mortality,beta,3.61,0.433,99000000003,17,FALSE
umbs.mid_hardwood,nonlocal_dispersal,beta,1.1,1.5,99000000003,63,FALSE
umbs.mid_hardwood,fineroot2leaf,lnorm,0.21,0.6,99000000003,75,FALSE
umbs.mid_hardwood,r_fract,beta,2,4,99000000003,80,FALSE
umbs.mid_hardwood,mort2,unif,5,80,99000000003,128,FALSE
umbs.mid_hardwood,stomatal_slope,unif,2,16,99000000003,134,FALSE
umbs.mid_hardwood,root_respiration_rate,unif,0,100,99000000003,138,FALSE
umbs.mid_hardwood,root_turnover_rate,unif,0,10,99000000003,139,FALSE
umbs.mid_hardwood,Vcmax,unif,0,500,99000000003,164,FALSE
umbs.mid_hardwood,water_conductance,lnorm,-5.4,3,99000000003,166,FALSE
umbs.mid_hardwood,SLA,gamma,5.13,0.234,99000000003,187,FALSE
umbs.mid_hardwood,quantum_efficiency,weibull,3.32,0.08,99000000003,192,FALSE
umbs.mid_hardwood,leaf_respiration_rate_m2,gamma,1.5,0.4,99000000003,197,FALSE
umbs.mid_hardwood,leaf_reflect_nir,beta,34.8382680039029,56.00797431418,99000000003,99000000528,FALSE
umbs.mid_hardwood,leaf_reflect_vis,beta,10.0965974292298,157.517963403116,99000000003,99000000533,FALSE
umbs.mid_hardwood,leaf_trans_nir,beta,16.5245154817715,17.3324856132255,99000000003,99000000537,FALSE
umbs.mid_hardwood,leaf_trans_vis,beta,2.09943028894085,37.9037732826413,99000000003,99000000541,FALSE
umbs.mid_hardwood,clumping_factor,beta,3,1.5,99000000003,99000000546,FALSE
umbs.mid_hardwood,orient_factor,unif,-0.5,0.5,99000000003,99000000550,FALSE
umbs.mid_hardwood,minimum_height,gamma,1.5,0.2,99000000003,99000000555,FALSE
umbs.mid_hardwood,mort1,gamma,1,0.05,99000000003,99000000559,FALSE
umbs.mid_hardwood,mort3,unif,0,0.02,99000000003,99000000563,FALSE
umbs.late_hardwood,mort2,gamma,1.47,0.0578,99000000004,1,FALSE
umbs.late_hardwood,f_labile,beta,1.5,1.5,99000000004,5,FALSE
umbs.late_hardwood,seedling_mortality,beta,3.61,0.433,99000000004,17,FALSE
umbs.late_hardwood,root_turnover_rate,weibull,1.55,0.862,99000000004,35,FALSE
umbs.late_hardwood,growth_resp_factor,beta,4.06,7.2,99000000004,57,FALSE
umbs.late_hardwood,nonlocal_dispersal,beta,1.1,1.5,99000000004,63,FALSE
umbs.late_hardwood,stomatal_slope,lnorm,1.76,0.38,99000000004,69,FALSE
umbs.late_hardwood,fineroot2leaf,lnorm,0.21,0.6,99000000004,75,FALSE
umbs.late_hardwood,r_fract,beta,2,4,99000000004,80,FALSE
umbs.late_hardwood,water_conductance,lnorm,-5.4,3,99000000004,166,FALSE
umbs.late_hardwood,SLA,gamma,5.13,0.234,99000000004,187,FALSE
umbs.late_hardwood,leaf_respiration_rate_m2,weibull,2,6,99000000004,200,FALSE
umbs.late_hardwood,quantum_efficiency,gamma,2,22,99000000004,227,FALSE
umbs.late_hardwood,Vcmax,weibull,1.7,80,99000000004,228,FALSE
umbs.late_hardwood,root_respiration_rate,gamma,4,0.15,99000000004,229,FALSE
umbs.late_hardwood,leaf_reflect_nir,beta,393.226888581753,595.023728387975,99000000004,99000000530,FALSE
umbs.late_hardwood,leaf_reflect_vis,beta,72.3934468174203,1282.55557841845,99000000004,99000000534,FALSE
umbs.late_hardwood,leaf_trans_nir,beta,95.560066754581,85.6401796837152,99000000004,99000000538,FALSE
umbs.late_hardwood,leaf_trans_vis,beta,8.79904477717801,189.034383833339,99000000004,99000000542,FALSE
umbs.late_hardwood,clumping_factor,beta,3,1.5,99000000004,99000000545,FALSE
umbs.late_hardwood,orient_factor,unif,-0.5,0.5,99000000004,99000000549,FALSE
umbs.late_hardwood,minimum_height,gamma,1.5,0.2,99000000004,99000000554,FALSE
umbs.late_hardwood,mort1,gamma,1,0.05,99000000004,99000000558,FALSE
umbs.late_hardwood,mort3,unif,0,0.02,99000000004,99000000562,FALSE
umbs.northern_pine,f_labile,beta,1.5,1.5,99000000005,5,FALSE
umbs.northern_pine,growth_resp_factor,beta,2.63,6.52,99000000005,7,FALSE
umbs.northern_pine,seedling_mortality,beta,3.61,0.433,99000000005,17,FALSE
umbs.northern_pine,nonlocal_dispersal,beta,1.1,1.5,99000000005,63,FALSE
umbs.northern_pine,r_fract,beta,2,4,99000000005,80,FALSE
umbs.northern_pine,mort2,unif,5,80,99000000005,128,FALSE
umbs.northern_pine,SLA,unif,3,30,99000000005,132,FALSE
umbs.northern_pine,stomatal_slope,unif,2,16,99000000005,134,FALSE
umbs.northern_pine,fineroot2leaf,lnorm,-0.25,1,99000000005,137,FALSE
umbs.northern_pine,root_respiration_rate,unif,0,100,99000000005,138,FALSE
umbs.northern_pine,root_turnover_rate,unif,0,10,99000000005,139,FALSE
